"FIPS","MSCODE","RACE","AGE","INCOME"
"42",1,"RBK",2,5
"10",1,"RBK",2,5
"34",4,"RWH",4,5
"24",4,"RWH",4,5
"42",4,"RWH",4,5
"10",4,"RWH",4,5
"34",3,"RMT",2,5
"24",3,"RMT",2,5
"42",3,"RMT",2,5
"10",3,"RMT",2,5
"34",4,"RHS",1,5
"24",4,"RHS",1,5
"42",4,"RHS",1,5
"10",4,"RHS",1,5
"34",2,"ROT",3,2
"24",2,"ROT",3,2
"42",2,"ROT",3,2
"10",2,"ROT",3,2
"34",2,"RBK",2,2
"24",2,"RBK",2,2
"42",2,"RBK",2,2
"10",2,"RBK",2,2
"34",4,"RBK",3,2
"24",4,"RBK",3,2
"42",4,"RBK",3,2
"10",4,"RBK",3,2
"34",4,"RMT",2,2
"24",4,"RMT",2,2
"42",4,"RMT",2,2
"10",4,"RMT",2,2
"34",2,"RWH",1,2
"24",2,"RWH",1,2
"42",2,"RWH",1,2
"10",2,"RWH",1,2
"34",1,"RMT",3,2
"24",1,"RMT",3,2
"42",1,"RMT",3,2
"10",1,"RMT",3,2
"34",2,"RHS",4,2
"24",2,"RHS",4,2
"42",2,"RHS",4,2
"10",2,"RHS",4,2
"34",3,"RWH",2,2
"24",3,"RWH",2,2
"42",3,"RWH",2,2
"10",3,"RWH",2,2
"34",4,"ROT",1,2
"24",4,"ROT",1,2
"42",4,"ROT",1,2
"10",4,"ROT",1,2
"34",3,"RHS",3,2
"24",3,"RHS",3,2
"42",3,"RHS",3,2
"10",3,"RHS",3,2
"34",2,"RWH",3,8
"24",2,"RWH",3,8
"42",2,"RWH",3,8
"10",2,"RWH",3,8
"34",2,"ROT",2,8
"24",2,"ROT",2,8
"42",2,"ROT",2,8
"10",2,"ROT",2,8
"34",1,"RHS",1,8
"24",1,"RHS",1,8
"42",1,"RHS",1,8
"10",1,"RHS",1,8
"34",4,"ROT",3,8
"24",4,"ROT",3,8
"42",4,"ROT",3,8
"10",4,"ROT",3,8
"34",4,"RBK",2,8
"24",4,"RBK",2,8
"42",4,"RBK",2,8
"10",4,"RBK",2,8
"34",1,"RBK",3,8
"24",1,"RBK",3,8
"42",1,"RBK",3,8
"10",1,"RBK",3,8
"34",2,"RMT",4,8
"24",2,"RMT",4,8
"42",2,"RMT",4,8
"10",2,"RMT",4,8
"34",4,"RHS",4,8
"24",4,"RHS",4,8
"42",4,"RHS",4,8
"10",4,"RHS",4,8
"34",4,"RWH",1,8
"24",4,"RWH",1,8
"42",4,"RWH",1,8
"10",4,"RWH",1,8
"34",3,"RMT",3,8
"24",3,"RMT",3,8
"42",3,"RMT",3,8
"10",3,"RMT",3,8
"34",2,"RBK",3,2
"24",2,"RBK",3,2
"42",2,"RBK",3,2
"10",2,"RBK",3,2
"34",2,"RMT",2,2
"24",2,"RMT",2,2
"42",2,"RMT",2,2
"10",2,"RMT",2,2
"34",3,"RWH",4,2
"24",3,"RWH",4,2
"42",3,"RWH",4,2
"10",3,"RWH",4,2
"34",4,"RMT",3,2
"24",4,"RMT",3,2
"42",4,"RMT",3,2
"10",4,"RMT",3,2
"34",4,"RHS",2,2
"24",4,"RHS",2,2
"42",4,"RHS",2,2
"10",4,"RHS",2,2
"34",2,"ROT",1,2
"24",2,"ROT",1,2
"42",2,"ROT",1,2
"10",2,"ROT",1,2
"34",1,"RHS",3,2
"24",1,"RHS",3,2
"42",1,"RHS",3,2
"10",1,"RHS",3,2
"34",1,"RWH",2,2
"24",1,"RWH",2,2
"42",1,"RWH",2,2
"10",1,"RWH",2,2
"34",3,"ROT",2,2
"24",3,"ROT",2,2
"42",3,"ROT",2,2
"10",3,"ROT",2,2
"34",4,"RBK",1,2
"24",4,"RBK",1,2
"42",4,"RBK",1,2
"10",4,"RBK",1,2
"34",1,"RWH",4,3
"24",1,"RWH",4,3
"42",1,"RWH",4,3
"10",1,"RWH",4,3
"34",2,"RMT",3,3
"24",2,"RMT",3,3
"42",2,"RMT",3,3
"10",2,"RMT",3,3
"34",2,"RHS",2,3
"24",2,"RHS",2,3
"42",2,"RHS",2,3
"10",2,"RHS",2,3
"34",3,"ROT",4,3
"24",3,"ROT",4,3
"42",3,"ROT",4,3
"10",3,"ROT",4,3
"34",4,"RHS",3,3
"24",4,"RHS",3,3
"42",4,"RHS",3,3
"10",4,"RHS",3,3
"34",3,"RWH",1,3
"24",3,"RWH",1,3
"42",3,"RWH",1,3
"10",3,"RWH",1,3
"34",2,"RBK",1,3
"24",2,"RBK",1,3
"42",2,"RBK",1,3
"10",2,"RBK",1,3
"34",1,"ROT",2,3
"24",1,"ROT",2,3
"42",1,"ROT",2,3
"10",1,"ROT",2,3
"34",3,"RBK",2,3
"24",3,"RBK",2,3
"42",3,"RBK",2,3
"10",3,"RBK",2,3
"34",4,"RMT",1,3
"24",4,"RMT",1,3
"42",4,"RMT",1,3
"10",4,"RMT",1,3
"34",1,"RMT",4,7
"24",1,"RMT",4,7
"42",1,"RMT",4,7
"10",1,"RMT",4,7
"34",1,"RBK",1,7
"24",1,"RBK",1,7
"42",1,"RBK",1,7
"10",1,"RBK",1,7
"34",3,"RHS",4,7
"24",3,"RHS",4,7
"42",3,"RHS",4,7
"10",3,"RHS",4,7
"34",4,"RWH",2,7
"24",4,"RWH",2,7
"42",4,"RWH",2,7
"10",4,"RWH",2,7
"34",3,"RMT",1,7
"24",3,"RMT",1,7
"42",3,"RMT",1,7
"10",3,"RMT",1,7
"34",1,"RWH",3,7
"24",1,"RWH",3,7
"42",1,"RWH",3,7
"10",1,"RWH",3,7
"34",2,"ROT",4,7
"24",2,"ROT",4,7
"42",2,"ROT",4,7
"10",2,"ROT",4,7
"34",1,"RHS",2,7
"24",1,"RHS",2,7
"42",1,"RHS",2,7
"10",1,"RHS",2,7
"34",4,"RBK",4,7
"24",4,"RBK",4,7
"42",4,"RBK",4,7
"10",4,"RBK",4,7
"34",3,"ROT",3,7
"24",3,"ROT",3,7
"42",3,"ROT",3,7
"10",3,"ROT",3,7
"34",1,"RBK",4,5
"24",1,"RBK",4,5
"42",1,"RBK",4,5
"10",1,"RBK",4,5
"34",1,"ROT",1,5
"24",1,"ROT",1,5
"42",1,"ROT",1,5
"10",1,"ROT",1,5
"34",3,"RMT",4,5
"24",3,"RMT",4,5
"42",3,"RMT",4,5
"10",3,"RMT",4,5
"34",3,"RBK",1,5
"24",3,"RBK",1,5
"42",3,"RBK",1,5
"10",3,"RBK",1,5
"34",2,"RHS",1,5
"24",2,"RHS",1,5
"42",2,"RHS",1,5
"10",2,"RHS",1,5
"34",2,"RWH",4,5
"24",2,"RWH",4,5
"42",2,"RWH",4,5
"10",2,"RWH",4,5
"34",1,"RMT",2,5
"24",1,"RMT",2,5
"42",1,"RMT",2,5
"10",1,"RMT",2,5
"34",4,"ROT",4,5
"24",4,"ROT",4,5
"42",4,"ROT",4,5
"10",4,"ROT",4,5
"34",3,"RHS",2,5
"24",3,"RHS",2,5
"42",3,"RHS",2,5
"10",3,"RHS",2,5
"34",3,"RWH",3,5
"24",3,"RWH",3,5
"42",3,"RWH",3,5
"10",3,"RWH",3,5
"34",1,"RHS",4,1
"24",1,"RHS",4,1
"42",1,"RHS",4,1
"10",1,"RHS",4,1
"34",2,"RWH",2,1
"24",2,"RWH",2,1
"42",2,"RWH",2,1
"10",2,"RWH",2,1
"34",1,"RMT",1,1
"24",1,"RMT",1,1
"42",1,"RMT",1,1
"10",1,"RMT",1,1
"34",4,"RWH",3,1
"24",4,"RWH",3,1
"42",4,"RWH",3,1
"10",4,"RWH",3,1
"34",4,"ROT",2,1
"24",4,"ROT",2,1
"42",4,"ROT",2,1
"10",4,"ROT",2,1
"34",3,"RHS",1,1
"24",3,"RHS",1,1
"42",3,"RHS",1,1
"10",3,"RHS",1,1
"34",1,"ROT",3,1
"24",1,"ROT",3,1
"42",1,"ROT",3,1
"10",1,"ROT",3,1
"34",2,"RBK",4,1
"24",2,"RBK",4,1
"42",2,"RBK",4,1
"10",2,"RBK",4,1
"34",4,"RMT",4,1
"24",4,"RMT",4,1
"42",4,"RMT",4,1
"10",4,"RMT",4,1
"34",3,"RBK",3,1
"24",3,"RBK",3,1
"42",3,"RBK",3,1
"10",3,"RBK",3,1
"34",1,"ROT",4,4
"24",1,"ROT",4,4
"42",1,"ROT",4,4
"10",1,"ROT",4,4
"34",2,"RHS",3,4
"24",2,"RHS",3,4
"42",2,"RHS",3,4
"10",2,"RHS",3,4
"34",1,"RWH",1,4
"24",1,"RWH",1,4
"42",1,"RWH",1,4
"10",1,"RWH",1,4
"34",3,"RBK",4,4
"24",3,"RBK",4,4
"42",3,"RBK",4,4
"10",3,"RBK",4,4
"34",3,"ROT",1,4
"24",3,"ROT",1,4
"42",3,"ROT",1,4
"10",3,"ROT",1,4
"34",2,"RMT",1,4
"24",2,"RMT",1,4
"42",2,"RMT",1,4
"10",2,"RMT",1,4
"34",1,"RBK",2,4
"24",1,"RBK",2,4
"42",1,"RBK",2,4
"10",1,"RBK",2,4
"34",4,"RWH",4,4
"24",4,"RWH",4,4
"42",4,"RWH",4,4
"10",4,"RWH",4,4
"34",3,"RMT",2,4
"24",3,"RMT",2,4
"42",3,"RMT",2,4
"10",3,"RMT",2,4
"34",4,"RHS",1,4
"24",4,"RHS",1,4
"42",4,"RHS",1,4
"10",4,"RHS",1,4
"34",2,"ROT",3,8
"24",2,"ROT",3,8
"42",2,"ROT",3,8
"10",2,"ROT",3,8
"34",2,"RBK",2,8
"24",2,"RBK",2,8
"42",2,"RBK",2,8
"10",2,"RBK",2,8
"34",4,"RBK",3,8
"24",4,"RBK",3,8
"42",4,"RBK",3,8
"10",4,"RBK",3,8
"34",4,"RMT",2,8
"24",4,"RMT",2,8
"42",4,"RMT",2,8
"10",4,"RMT",2,8
"34",2,"RWH",1,8
"24",2,"RWH",1,8
"42",2,"RWH",1,8
"10",2,"RWH",1,8
"34",1,"RMT",3,8
"24",1,"RMT",3,8
"42",1,"RMT",3,8
"10",1,"RMT",3,8
"34",2,"RHS",4,8
"24",2,"RHS",4,8
"42",2,"RHS",4,8
"10",2,"RHS",4,8
"34",3,"RWH",2,8
"24",3,"RWH",2,8
"42",3,"RWH",2,8
"10",3,"RWH",2,8
"34",4,"ROT",1,8
"24",4,"ROT",1,8
"42",4,"ROT",1,8
"10",4,"ROT",1,8
"34",3,"RHS",3,8
"24",3,"RHS",3,8
"42",3,"RHS",3,8
"10",3,"RHS",3,8
"34",2,"RWH",3,6
"24",2,"RWH",3,6
"42",2,"RWH",3,6
"10",2,"RWH",3,6
"34",2,"ROT",2,6
"24",2,"ROT",2,6
"42",2,"ROT",2,6
"10",2,"ROT",2,6
"34",1,"RHS",1,6
"24",1,"RHS",1,6
"42",1,"RHS",1,6
"10",1,"RHS",1,6
"34",4,"ROT",3,6
"24",4,"ROT",3,6
"42",4,"ROT",3,6
"10",4,"ROT",3,6
"34",4,"RBK",2,6
"24",4,"RBK",2,6
"42",4,"RBK",2,6
"10",4,"RBK",2,6
"34",1,"RBK",3,6
"24",1,"RBK",3,6
"42",1,"RBK",3,6
"10",1,"RBK",3,6
"34",2,"RMT",4,6
"24",2,"RMT",4,6
"42",2,"RMT",4,6
"10",2,"RMT",4,6
"34",4,"RHS",4,6
"24",4,"RHS",4,6
"42",4,"RHS",4,6
"10",4,"RHS",4,6
"34",4,"RWH",1,6
"24",4,"RWH",1,6
"42",4,"RWH",1,6
"10",4,"RWH",1,6
"34",3,"RMT",3,6
"24",3,"RMT",3,6
"42",3,"RMT",3,6
"10",3,"RMT",3,6
"34",2,"RBK",3,1
"24",2,"RBK",3,1
"42",2,"RBK",3,1
"10",2,"RBK",3,1
"34",2,"RMT",2,1
"24",2,"RMT",2,1
"42",2,"RMT",2,1
"10",2,"RMT",2,1
"34",3,"RWH",4,1
"24",3,"RWH",4,1
"42",3,"RWH",4,1
"10",3,"RWH",4,1
"34",4,"RMT",3,1
"24",4,"RMT",3,1
"42",4,"RMT",3,1
"10",4,"RMT",3,1
"34",4,"RHS",2,1
"24",4,"RHS",2,1
"42",4,"RHS",2,1
"10",4,"RHS",2,1
"34",2,"ROT",1,1
"24",2,"ROT",1,1
"42",2,"ROT",1,1
"10",2,"ROT",1,1
"34",1,"RHS",3,1
"24",1,"RHS",3,1
"42",1,"RHS",3,1
"10",1,"RHS",3,1
"34",1,"RWH",2,1
"24",1,"RWH",2,1
"42",1,"RWH",2,1
"10",1,"RWH",2,1
"34",3,"ROT",2,1
"24",3,"ROT",2,1
"42",3,"ROT",2,1
"10",3,"ROT",2,1
"34",4,"RBK",1,1
"24",4,"RBK",1,1
"42",4,"RBK",1,1
"10",4,"RBK",1,1
"34",1,"RWH",4,6
"24",1,"RWH",4,6
"42",1,"RWH",4,6
"10",1,"RWH",4,6
"34",2,"RMT",3,6
"24",2,"RMT",3,6
"42",2,"RMT",3,6
"10",2,"RMT",3,6
"34",2,"RHS",2,6
"24",2,"RHS",2,6
"42",2,"RHS",2,6
"10",2,"RHS",2,6
"34",3,"ROT",4,6
"24",3,"ROT",4,6
"42",3,"ROT",4,6
"10",3,"ROT",4,6
"34",4,"RHS",3,6
"24",4,"RHS",3,6
"42",4,"RHS",3,6
"10",4,"RHS",3,6
"34",3,"RWH",1,6
"24",3,"RWH",1,6
"42",3,"RWH",1,6
"10",3,"RWH",1,6
"34",2,"RBK",1,6
"24",2,"RBK",1,6
"42",2,"RBK",1,6
"10",2,"RBK",1,6
"34",1,"ROT",2,6
"24",1,"ROT",2,6
"42",1,"ROT",2,6
"10",1,"ROT",2,6
"34",3,"RBK",2,6
"24",3,"RBK",2,6
"42",3,"RBK",2,6
"10",3,"RBK",2,6
"34",4,"RMT",1,6
"24",4,"RMT",1,6
"42",4,"RMT",1,6
"10",4,"RMT",1,6
"34",1,"RMT",4,3
"24",1,"RMT",4,3
"42",1,"RMT",4,3
"10",1,"RMT",4,3
"34",1,"RBK",1,3
"24",1,"RBK",1,3
"42",1,"RBK",1,3
"10",1,"RBK",1,3
"34",3,"RHS",4,3
"24",3,"RHS",4,3
"42",3,"RHS",4,3
"10",3,"RHS",4,3
"34",4,"RWH",2,3
"24",4,"RWH",2,3
"42",4,"RWH",2,3
"10",4,"RWH",2,3
"34",3,"RMT",1,3
